"Model","Region","Scenario","Year","Item","Variable","value"
"FAO","ANZ","FAO Historical","1970","Maize","YILD",2.85331341816581
"FAO","BRA","FAO Historical","1970","Maize","YILD",1.442062615
"FAO","CHN","FAO Historical","1970","Maize","YILD",2.089115797
"FAO","EUR","FAO Historical","1970","Maize","YILD",3.28182176088957
"FAO","IND","FAO Historical","1970","Maize","YILD",1.279086855
"FAO","OSA","FAO Historical","1970","Maize","YILD",1.493910447459
"FAO","SEA","FAO Historical","1970","Maize","YILD",1.25670899660261
"FAO","SSA","FAO Historical","1970","Maize","YILD",1.05153018733637
"FAO","USA","FAO Historical","1970","Maize","YILD",4.543890753
"FAO","WLD","FAO Historical","1970","Maize","YILD",2.354444645
"FAO","ANZ","FAO Historical","1971","Maize","YILD",3.20815962803828
"FAO","BRA","FAO Historical","1971","Maize","YILD",1.339250626
"FAO","CHN","FAO Historical","1971","Maize","YILD",2.146089695
"FAO","EUR","FAO Historical","1971","Maize","YILD",3.54435329690387
"FAO","IND","FAO Historical","1971","Maize","YILD",0.89994001
"FAO","OSA","FAO Historical","1971","Maize","YILD",1.55040072292421
"FAO","SEA","FAO Historical","1971","Maize","YILD",1.291359952479
"FAO","SSA","FAO Historical","1971","Maize","YILD",1.27197401473751
"FAO","USA","FAO Historical","1971","Maize","YILD",5.526957494
"FAO","WLD","FAO Historical","1971","Maize","YILD",2.656561181
"FAO","ANZ","FAO Historical","1972","Maize","YILD",3.55001128899605
"FAO","BRA","FAO Historical","1972","Maize","YILD",1.412992176
"FAO","CHN","FAO Historical","1972","Maize","YILD",1.925025189
"FAO","EUR","FAO Historical","1972","Maize","YILD",3.70282935443759
"FAO","IND","FAO Historical","1972","Maize","YILD",1.094333482
"FAO","OSA","FAO Historical","1972","Maize","YILD",1.3653111705733
"FAO","SEA","FAO Historical","1972","Maize","YILD",1.16726225033662
"FAO","SSA","FAO Historical","1972","Maize","YILD",1.30685611493318
"FAO","USA","FAO Historical","1972","Maize","YILD",6.089673928
"FAO","WLD","FAO Historical","1972","Maize","YILD",2.689205578
"FAO","ANZ","FAO Historical","1973","Maize","YILD",3.55396730727601
"FAO","BRA","FAO Historical","1973","Maize","YILD",1.429513471
"FAO","CHN","FAO Historical","1973","Maize","YILD",2.334354948
"FAO","EUR","FAO Historical","1973","Maize","YILD",3.87403596095648
"FAO","IND","FAO Historical","1973","Maize","YILD",0.964773747
"FAO","OSA","FAO Historical","1973","Maize","YILD",1.55151667348862
"FAO","SEA","FAO Historical","1973","Maize","YILD",1.28726864409063
"FAO","SSA","FAO Historical","1973","Maize","YILD",0.973714844252355
"FAO","USA","FAO Historical","1973","Maize","YILD",5.72775476
"FAO","WLD","FAO Historical","1973","Maize","YILD",2.724553574
"FAO","ANZ","FAO Historical","1974","Maize","YILD",3.33953760449732
"FAO","BRA","FAO Historical","1974","Maize","YILD",1.52478831
"FAO","CHN","FAO Historical","1974","Maize","YILD",2.468305434
"FAO","EUR","FAO Historical","1974","Maize","YILD",3.68832245445889
"FAO","IND","FAO Historical","1974","Maize","YILD",0.948116184
"FAO","OSA","FAO Historical","1974","Maize","YILD",1.62093392192476
"FAO","SEA","FAO Historical","1974","Maize","YILD",1.34526069516098
"FAO","SSA","FAO Historical","1974","Maize","YILD",1.38609140635845
"FAO","USA","FAO Historical","1974","Maize","YILD",4.511859108
"FAO","WLD","FAO Historical","1974","Maize","YILD",2.559537543
"FAO","ANZ","FAO Historical","1975","Maize","YILD",4.04275808374358
"FAO","BRA","FAO Historical","1975","Maize","YILD",1.504835285
"FAO","CHN","FAO Historical","1975","Maize","YILD",2.542196527
"FAO","EUR","FAO Historical","1975","Maize","YILD",3.93399576132876
"FAO","IND","FAO Historical","1975","Maize","YILD",1.203143914
"FAO","OSA","FAO Historical","1975","Maize","YILD",1.56998134628905
"FAO","SEA","FAO Historical","1975","Maize","YILD",1.38682690235266
"FAO","SSA","FAO Historical","1975","Maize","YILD",1.34263701288261
"FAO","USA","FAO Historical","1975","Maize","YILD",5.421269816
"FAO","WLD","FAO Historical","1975","Maize","YILD",2.813912652
"FAO","ANZ","FAO Historical","1976","Maize","YILD",4.34011895431517
"FAO","BRA","FAO Historical","1976","Maize","YILD",1.596668337
"FAO","CHN","FAO Historical","1976","Maize","YILD",2.507177116
"FAO","EUR","FAO Historical","1976","Maize","YILD",3.89015692564559
"FAO","IND","FAO Historical","1976","Maize","YILD",1.060146993
"FAO","OSA","FAO Historical","1976","Maize","YILD",1.41360233973027
"FAO","SEA","FAO Historical","1976","Maize","YILD",1.4216903241595
"FAO","SSA","FAO Historical","1976","Maize","YILD",1.28371312843632
"FAO","USA","FAO Historical","1976","Maize","YILD",5.52064398
"FAO","WLD","FAO Historical","1976","Maize","YILD",2.840286667
"FAO","ANZ","FAO Historical","1977","Maize","YILD",4.34601338226621
"FAO","BRA","FAO Historical","1977","Maize","YILD",1.632217103
"FAO","CHN","FAO Historical","1977","Maize","YILD",2.515750238
"FAO","EUR","FAO Historical","1977","Maize","YILD",4.21967547418395
"FAO","IND","FAO Historical","1977","Maize","YILD",1.051137663
"FAO","OSA","FAO Historical","1977","Maize","YILD",1.6829032442586
"FAO","SEA","FAO Historical","1977","Maize","YILD",1.33193726774834
"FAO","SSA","FAO Historical","1977","Maize","YILD",1.44177369635353
"FAO","USA","FAO Historical","1977","Maize","YILD",5.701527138
"FAO","WLD","FAO Historical","1977","Maize","YILD",2.968238651
"FAO","ANZ","FAO Historical","1978","Maize","YILD",4.34427935913388
"FAO","BRA","FAO Historical","1978","Maize","YILD",1.219740406
"FAO","CHN","FAO Historical","1978","Maize","YILD",2.803141567
"FAO","EUR","FAO Historical","1978","Maize","YILD",4.19177708122111
"FAO","IND","FAO Historical","1978","Maize","YILD",1.076215278
"FAO","OSA","FAO Historical","1978","Maize","YILD",1.85655586078445
"FAO","SEA","FAO Historical","1978","Maize","YILD",1.46866182499757
"FAO","SSA","FAO Historical","1978","Maize","YILD",1.43896992481979
"FAO","USA","FAO Historical","1978","Maize","YILD",6.342053191
"FAO","WLD","FAO Historical","1978","Maize","YILD",3.157722121
"FAO","ANZ","FAO Historical","1979","Maize","YILD",4.81109866252432
"FAO","BRA","FAO Historical","1979","Maize","YILD",1.440634833
"FAO","CHN","FAO Historical","1979","Maize","YILD",2.985086114
"FAO","EUR","FAO Historical","1979","Maize","YILD",4.62731257208604
"FAO","IND","FAO Historical","1979","Maize","YILD",0.979425235
"FAO","OSA","FAO Historical","1979","Maize","YILD",1.85526560072526
"FAO","SEA","FAO Historical","1979","Maize","YILD",1.51037273746971
"FAO","SSA","FAO Historical","1979","Maize","YILD",1.30443571593817
"FAO","USA","FAO Historical","1979","Maize","YILD",6.87342171
"FAO","WLD","FAO Historical","1979","Maize","YILD",3.385278144
"FAO","ANZ","FAO Historical","1980","Maize","YILD",4.18524922711369
"FAO","BRA","FAO Historical","1980","Maize","YILD",1.779020063
"FAO","CHN","FAO Historical","1980","Maize","YILD",3.07849625
"FAO","EUR","FAO Historical","1980","Maize","YILD",4.4858761737658
"FAO","IND","FAO Historical","1980","Maize","YILD",1.158573141
"FAO","OSA","FAO Historical","1980","Maize","YILD",1.83442225939723
"FAO","SEA","FAO Historical","1980","Maize","YILD",1.57348734116615
"FAO","SSA","FAO Historical","1980","Maize","YILD",1.45850030281916
"FAO","USA","FAO Historical","1980","Maize","YILD",5.711832159
"FAO","WLD","FAO Historical","1980","Maize","YILD",3.15483297
"FAO","ANZ","FAO Historical","1981","Maize","YILD",4.40651531195139
